state,year,new_401k_plans,new_401k_with_employees,new_esrp_plans,establishments,employment,rate_per_1000_estabs,esrp_rate_per_1000_estabs,with_employees_rate_per_1000_estabs,first_treatment_year,treated,event_time,cohort
AK,2017,70,68,81,21279.0,262075.0,3.2896282720052636,3.8065698576060902,3.195638892805113,inf,0,,0
AK,2018,67,65,86,21293.0,261053.0,3.14657399145259,4.038886018879444,3.0526464096181845,inf,0,,0
AK,2019,76,74,86,21399.0,264971.0,3.5515678302724427,4.018879386887238,3.4581055189494836,inf,0,,0
AK,2020,66,62,89,21184.0,266063.0,3.115558912386707,4.201283987915407,2.9267371601208456,inf,0,,0
AK,2021,115,98,136,21641.0,251093.0,5.313987338847558,6.284367635506678,4.5284413844092235,inf,0,,0
AK,2022,92,78,97,22082.0,257462.0,4.166289285390816,4.392718050901187,3.5322887419617786,inf,0,,0
AK,2023,135,119,140,22178.0,263691.0,6.0871133555776,6.312561998376769,5.365677698620255,inf,0,,0
AK,2024,125,71,130,22178.0,263691.0,5.636216069979259,5.861664712778429,3.2013707277482193,inf,0,,0
AL,2017,274,266,325,100419.0,1690061.0,2.728567303000428,3.236439319252333,2.6489011043726785,inf,0,,0
AL,2018,364,349,416,100267.0,1730817.0,3.6303070800961432,4.1489223772527355,3.480706513608665,inf,0,,0
AL,2019,371,348,581,100731.0,1758609.0,3.683076709255343,5.767837110720632,3.4547458081424787,inf,0,,0
AL,2020,333,313,569,100955.0,1777495.0,3.298499331385271,5.636174533207865,3.1003912634342035,inf,0,,0
AL,2021,473,433,536,103514.0,1719114.0,4.569430221998957,5.17804354966478,4.183009061576212,inf,0,,0
AL,2022,470,400,507,105071.0,1777657.0,4.473165764102369,4.825308600850853,3.8069495864701013,inf,0,,0
AL,2023,459,390,501,105720.0,1822666.0,4.341657207718502,4.738933030646992,3.688989784335982,inf,0,,0
AL,2024,493,373,531,105720.0,1822666.0,4.663261445327279,5.022701475595913,3.528187665531593,inf,0,,0
AR,2017,191,179,211,66786.0,1030593.0,2.859880813344114,3.1593447728565867,2.6802024376366305,inf,0,,0
AR,2018,208,202,230,66975.0,1043210.0,3.1056364315042924,3.4341172079134004,3.0160507652108994,inf,0,,0
AR,2019,165,151,184,67243.0,1053453.0,2.4537870112874205,2.736344303496275,2.2455869012387906,inf,0,,0
AR,2020,220,200,250,67586.0,1055534.0,3.2551120054449147,3.698990915278312,2.9591927322226494,inf,0,,0
AR,2021,247,222,261,68572.0,1029703.0,3.602053316222365,3.8062182815143206,3.2374730210581575,inf,0,,0
AR,2022,271,242,292,69634.0,1089044.0,3.891777005485826,4.193353821409081,3.475313783496568,inf,0,,0
AR,2023,218,188,243,70452.0,1120356.0,3.0943053426446374,3.4491568727644353,2.66848350650088,inf,0,,0
AR,2024,269,195,293,70452.0,1120356.0,3.8182024640890253,4.158859933004031,2.7678419349344234,inf,0,,0
AZ,2017,945,902,1071,143306.0,2448538.0,6.594280769821221,7.473518205797385,6.294223549607135,inf,0,,0
AZ,2018,1058,1019,1174,144867.0,2549128.0,7.303250567762154,8.10398503454893,7.034038117721773,inf,0,,0
AZ,2019,1040,984,1147,147163.0,2614641.0,7.066993741633427,7.794078674666866,6.686463309391627,inf,0,,0
AZ,2020,1170,1094,1302,149829.0,2644781.0,7.808902148449232,8.689906493402479,7.3016572225670595,inf,0,,0
AZ,2021,1343,1260,1469,154759.0,2601482.0,8.67800903340032,9.492178160882405,8.14169127482085,inf,0,,0
AZ,2022,1445,1293,1544,159857.0,2787701.0,9.039328900204557,9.658632402709921,8.08847907817612,inf,0,,0
AZ,2023,1392,1224,1483,162845.0,2890429.0,8.54800577236022,9.10681936811078,7.516349903282262,inf,0,,0
AZ,2024,1383,1001,1483,162845.0,2890429.0,8.492738493659614,9.10681936811078,6.146949553256164,inf,0,,0
CA,2017,7478,7203,8539,941377.0,14896625.0,7.943682499147526,9.070754862292153,7.651557240085535,2019.0,0,-2.0,2019
CA,2018,8098,7867,8996,954632.0,15223664.0,8.482849935891526,9.42352655264018,8.240871875235694,2019.0,0,-1.0,2019
CA,2019,8344,7819,9177,966224.0,15516824.0,8.635678683203896,9.497797612147908,8.09232641706271,2019.0,1,0.0,2019
CA,2020,9212,8590,10048,981369.0,15710859.0,9.38688709343784,10.238758305999069,8.753078607537022,2019.0,1,1.0,2019
CA,2021,10705,9900,11551,998582.0,14835360.0,10.72020124536593,11.56740257685398,9.914058134434628,2019.0,1,2.0,2019
CA,2022,21503,18944,22294,1023181.0,16032440.0,21.01583199844407,21.788911248351955,18.514808230410846,2019.0,1,3.0,2019
CA,2023,12901,11255,13472,1029689.0,16405436.0,12.529025754378264,13.083562124097664,10.930484835712532,2019.0,1,4.0,2019
CA,2024,13455,9683,13863,1029689.0,16405436.0,13.067052284718978,13.463288429807447,9.403810276695197,2019.0,1,5.0,2019
CO,2017,1079,1055,1200,169842.0,2371694.0,6.352963342400584,7.0653901861730315,6.211655538677124,2023.0,0,-6.0,2023
CO,2018,1163,1119,1277,172548.0,2423817.0,6.7401534645432,7.400839186777012,6.485151957716114,2023.0,0,-5.0,2023
CO,2019,1272,1186,1366,174258.0,2473192.0,7.29952139930448,7.838951439819119,6.806000298408108,2023.0,0,-4.0,2023
CO,2020,1291,1199,1422,175965.0,2510726.0,7.336686272838349,8.081152501917995,6.81385502798852,2023.0,0,-3.0,2023
CO,2021,1502,1355,1610,179827.0,2416632.0,8.352472098183254,8.953049319623862,7.535019769000206,2023.0,0,-2.0,2023
CO,2022,1865,1623,1946,181963.0,2481196.0,10.249336403554569,10.694481845210289,8.919395701323895,2023.0,0,-1.0,2023
CO,2023,3116,2760,3216,182486.0,2566040.0,17.075282487423692,17.62326973028068,15.124447902852822,2023.0,1,0.0,2023
CO,2024,2023,1426,2121,182486.0,2566040.0,11.085781922996834,11.62280942099668,7.814298083140623,2023.0,1,1.0,2023
CT,2017,611,589,659,89574.0,1536858.0,6.8211757876169425,7.357045571259517,6.575568803447429,2022.0,0,-5.0,2022
CT,2018,594,570,665,89054.0,1528867.0,6.670110270173153,7.467379342870617,6.400610865317673,2022.0,0,-4.0,2022
CT,2019,645,620,704,88916.0,1538341.0,7.25403751855684,7.917585136533357,6.972873273651537,2022.0,0,-3.0,2022
CT,2020,597,563,680,88060.0,1551590.0,6.779468544174426,7.722007722007723,6.393368158074041,2022.0,0,-2.0,2022
CT,2021,639,598,706,88509.0,1442204.0,7.219604785953971,7.976589951304387,6.756375057903716,2022.0,0,-1.0,2022
CT,2022,774,674,824,89293.0,1508634.0,8.668092683637015,9.228046991365504,7.548184068180037,2022.0,1,0.0,2022
CT,2023,1305,1163,1359,89234.0,1536698.0,14.624470493309726,15.229620996481163,13.033148799784835,2022.0,1,1.0,2022
CT,2024,819,601,863,89234.0,1536698.0,9.178115964766793,9.671201559943519,6.735100970482104,2022.0,1,2.0,2022
DC,2017,232,224,259,23585.0,527004.0,9.836760652957388,10.981556073775705,9.497562009751961,inf,0,,0
DC,2018,233,229,255,23751.0,539557.0,9.81011325838912,10.736390046734876,9.641699296871712,inf,0,,0
DC,2019,241,227,260,23993.0,528826.0,10.044596340599341,10.836493977410077,9.461092818738798,inf,0,,0
DC,2020,256,237,282,24083.0,543174.0,10.629904912178715,11.709504629821865,9.840966656977951,inf,0,,0
DC,2021,304,276,331,24089.0,483307.0,12.619867989538793,13.740711528083358,11.457511727344432,inf,0,,0
DC,2022,284,234,313,23874.0,527355.0,11.895786210940772,13.11049677473402,9.801457652676552,inf,0,,0
DC,2023,291,261,303,23801.0,558653.0,12.226377042981388,12.730557539599175,10.965925801436915,inf,0,,0
DC,2024,299,194,319,23801.0,558653.0,12.562497374059914,13.402798201756228,8.150918028654258,inf,0,,0
DE,2017,180,170,201,25452.0,400714.0,7.072135785007072,7.897218293257897,6.679239352506679,2024.0,0,-7.0,2024
DE,2018,196,189,217,25771.0,405809.0,7.605447984168251,8.420317411043422,7.3338248418765275,2024.0,0,-6.0,2024
DE,2019,217,202,230,26142.0,413410.0,8.300818606074516,8.798102670032897,7.727029301507153,2024.0,0,-5.0,2024
DE,2020,286,254,294,27472.0,422044.0,10.410599883517763,10.701805474665113,9.245777518928364,2024.0,0,-4.0,2024
DE,2021,314,274,334,28553.0,408714.0,10.997093125065668,11.697544916471124,9.596189542254756,2024.0,0,-3.0,2024
DE,2022,428,353,442,29195.0,424303.0,14.660044528172634,15.139578694982017,12.091111491693782,2024.0,0,-2.0,2024
DE,2023,419,353,434,29706.0,457635.0,14.104894634080658,14.609843129334141,11.883121254965326,2024.0,0,-1.0,2024
DE,2024,606,387,618,29706.0,457635.0,20.39991920824076,20.803878004443547,13.02767117753989,2024.0,1,0.0,2024
FL,2017,2871,2779,3269,557308.0,8385577.0,5.151549950835086,5.865697244611597,4.986470676896797,inf,0,,0
FL,2018,3343,3254,3678,566894.0,8669611.0,5.897046008601255,6.487985408206825,5.740050168109029,inf,0,,0
FL,2019,3402,3249,3707,574512.0,8860042.0,5.921547330604061,6.452432673294901,5.655234355418164,inf,0,,0
FL,2020,3291,3102,3598,591046.0,9084079.0,5.568094530713346,6.0875126470697705,5.248322465594895,inf,0,,0
FL,2021,3954,3672,4294,616961.0,8877389.0,6.4088329732349365,6.959921291621351,5.951753838573264,inf,0,,0
FL,2022,4287,3814,4740,633353.0,9628867.0,6.768737181319107,7.483978129100201,6.02191826674856,inf,0,,0
FL,2023,4623,4159,5031,645575.0,9988508.0,7.161057971575727,7.79305270495295,6.442318863029083,inf,0,,0
FL,2024,4732,3587,5105,645575.0,9988508.0,7.32989970181621,7.9076792007125425,5.556287030941409,inf,0,,0
GA,2017,1246,1199,1467,233500.0,3888928.0,5.3361884368308345,6.282655246252677,5.134903640256959,inf,0,,0
GA,2018,1330,1288,1533,235847.0,3975657.0,5.639249174252799,6.499976679796648,5.461167621381658,inf,0,,0
GA,2019,1347,1285,2964,239034.0,4040559.0,5.635181605964005,12.39990963628605,5.375804278889196,inf,0,,0
GA,2020,1467,1375,2935,244668.0,4107151.0,5.995880131443425,11.995847434073928,5.6198603822322495,inf,0,,0
GA,2021,1555,1436,2604,253729.0,4034309.0,6.128586011059044,10.262918310480869,5.6595816796661005,inf,0,,0
GA,2022,1785,1591,2466,258377.0,4249362.0,6.908509658367424,9.544193175089115,6.157668832752141,inf,0,,0
GA,2023,1751,1551,2435,261320.0,4405730.0,6.700596969233124,9.318077452931272,5.9352517985611515,inf,0,,0
GA,2024,1773,1313,2266,261320.0,4405730.0,6.784784938007041,8.671360783713455,5.024491045461503,inf,0,,0
HI,2017,150,145,176,32800.0,544056.0,4.573170731707317,5.365853658536586,4.420731707317072,inf,0,,0
HI,2018,141,138,161,32952.0,551681.0,4.278951201747997,4.885894634620054,4.187909686817188,inf,0,,0
HI,2019,137,134,161,32889.0,553206.0,4.165526467815988,4.895253732250905,4.0743105597616225,inf,0,,0
HI,2020,154,149,173,32627.0,549375.0,4.720017163698777,5.3023569436356395,4.566769853189077,inf,0,,0
HI,2021,192,182,206,32488.0,469179.0,5.9098744151686775,6.340802757941394,5.602068456045309,inf,0,,0
HI,2022,170,157,185,32863.0,507390.0,5.172990901621884,5.6294312752944045,4.777409244439035,inf,0,,0
HI,2023,186,163,200,32911.0,520043.0,5.651605846069703,6.076995533408283,4.95275135972775,inf,0,,0
HI,2024,313,223,316,32911.0,520043.0,9.510498009783962,9.601652942785087,6.775850019750235,inf,0,,0
IA,2017,305,295,318,82685.0,1353681.0,3.6886980709923205,3.8459212674608456,3.567757150631916,inf,0,,0
IA,2018,288,285,312,82894.0,1364250.0,3.474316597099911,3.76384298019157,3.4381257992134535,inf,0,,0
IA,2019,271,259,293,82770.0,1380747.0,3.2741331400265796,3.5399299263018005,3.1291530747855503,inf,0,,0
IA,2020,249,238,283,82440.0,1390551.0,3.02037845705968,3.432799611838913,2.8869480834546337,inf,0,,0
IA,2021,336,315,370,82997.0,1352146.0,4.048339096593852,4.457992457558707,3.7953179030567368,inf,0,,0
IA,2022,396,373,422,83560.0,1386299.0,4.739109621828626,5.050263283867879,4.463858305409286,inf,0,,0
IA,2023,373,333,399,83321.0,1415652.0,4.476662546056816,4.7887087288918755,3.9965914955413404,inf,0,,0
IA,2024,334,242,350,83321.0,1415652.0,4.008593271804227,4.200621692010418,2.9044298556186314,inf,0,,0
ID,2017,214,205,241,47574.0,578134.0,4.498255349560685,5.065792239458528,4.309076386261403,inf,0,,0
ID,2018,227,219,247,49267.0,597765.0,4.6075466336492985,5.013497878904744,4.445166135547121,inf,0,,0
ID,2019,210,202,233,50547.0,616778.0,4.154549231408392,4.609571290086453,3.9962806892595006,inf,0,,0
ID,2020,258,244,286,51957.0,637810.0,4.965644667705988,5.504551840945397,4.696191081086283,inf,0,,0
ID,2021,363,340,395,54864.0,645239.0,6.616360454943131,7.199620880723243,6.197142023913678,inf,0,,0
ID,2022,371,321,388,57209.0,689589.0,6.484993619884984,6.782149661766506,5.611005261409917,inf,0,,0
ID,2023,310,266,330,58100.0,709721.0,5.335628227194492,5.679862306368331,4.578313253012048,inf,0,,0
ID,2024,348,236,366,58100.0,709721.0,5.989672977624784,6.29948364888124,4.061962134251291,inf,0,,0
IL,2017,1490,1426,1710,321135.0,5497629.0,4.6397932333753715,5.324863375216031,4.440500101203543,2018.0,0,-1.0,2018
IL,2018,1495,1445,1661,320965.0,5524630.0,4.657828735220351,5.1750190830775935,4.502048509962146,2018.0,1,0.0,2018
IL,2019,1824,1733,1995,320417.0,5530388.0,5.692581854271153,6.226261403109073,5.408576948164423,2018.0,1,1.0,2018
IL,2020,1586,1500,1837,318689.0,5545538.0,4.976638666536968,5.764240372275165,4.706783102021093,2018.0,1,2.0,2018
IL,2021,1851,1688,2085,320795.0,5270871.0,5.770040056734051,6.499477859692327,5.261927399117816,2018.0,1,3.0,2018
IL,2022,2196,1966,2348,322349.0,5533883.0,6.812492050541493,7.284030662418683,6.098979677306273,2018.0,1,4.0,2018
IL,2023,3121,2816,3264,322415.0,5661761.0,9.680070716312827,10.123598467813222,8.734084952623173,2018.0,1,5.0,2018
IL,2024,2829,2167,2962,322415.0,5661761.0,8.774405657305026,9.186917482127072,6.721151311198301,2018.0,1,6.0,2018
IN,2017,617,597,760,148377.0,2779124.0,4.158326425254588,5.122087655094792,4.023534644857357,inf,0,,0
IN,2018,584,573,683,148304.0,2816081.0,3.9378573740425074,4.605405113820261,3.8636854029560905,inf,0,,0
IN,2019,587,571,774,148917.0,2834056.0,3.941793079366359,5.19752613872157,3.8343506785659125,inf,0,,0
IN,2020,586,545,1087,148724.0,2821903.0,3.9401845028374707,7.308840536833329,3.664506064925634,inf,0,,0
IN,2021,748,689,1304,150912.0,2754576.0,4.956530958439355,8.640797285835452,4.565574639525021,inf,0,,0
IN,2022,766,697,1096,153748.0,2875908.0,4.982178629965918,7.128548013632698,4.533392304290137,inf,0,,0
IN,2023,805,727,1043,155692.0,2924989.0,5.170464763764355,6.6991239113120775,4.669475631374765,inf,0,,0
IN,2024,845,648,1047,155692.0,2924989.0,5.427382267553888,6.724815661691031,4.162063561390437,inf,0,,0
KS,2017,281,269,331,74947.0,1199162.0,3.7493161834362954,4.41645429436802,3.589203036812681,inf,0,,0
KS,2018,316,311,348,74559.0,1203434.0,4.238254268431712,4.667444574095682,4.171193283171716,inf,0,,0
KS,2019,291,274,328,74292.0,1209318.0,3.9169762558552734,4.415011037527594,3.6881494642761,inf,0,,0
KS,2020,287,279,355,73982.0,1207003.0,3.8793219972425725,4.798464491362764,3.771187586169609,inf,0,,0
KS,2021,371,338,439,75057.0,1188432.0,4.942910055024847,5.848888178317812,4.5032442010738505,inf,0,,0
KS,2022,403,362,435,75991.0,1225232.0,5.303259596531168,5.724362095511311,4.76372201971286,inf,0,,0
KS,2023,375,337,407,76139.0,1248825.0,4.925202589999868,5.3454865443465245,4.426115394213215,inf,0,,0
KS,2024,353,266,372,76139.0,1248825.0,4.636257371386543,4.88580096927987,3.4936103705065737,inf,0,,0
KY,2017,348,343,398,91241.0,1625006.0,3.8140748128582542,4.362074067579268,3.759274887386153,inf,0,,0
KY,2018,298,290,346,91079.0,1642234.0,3.271884847220545,3.7988998561688203,3.1840490123958323,inf,0,,0
KY,2019,336,323,591,91219.0,1666637.0,3.6834431423278047,6.478913384273013,3.540928973130598,inf,0,,0
KY,2020,306,288,1502,90922.0,1666427.0,3.3655220958623877,16.519654209102306,3.1675502078704825,inf,0,,0
KY,2021,336,319,1177,92130.0,1617040.0,3.6470205144903938,12.775426028438076,3.4624986432215348,inf,0,,0
KY,2022,376,342,1006,93549.0,1667694.0,4.01928401158751,10.75372264802403,3.6558381169226823,inf,0,,0
KY,2023,394,349,1013,94402.0,1708602.0,4.17364038897481,10.730704857947925,3.6969555729751487,inf,0,,0
KY,2024,375,278,1068,94402.0,1708602.0,3.9723734666638415,11.313319633058622,2.944852863286795,inf,0,,0
LA,2017,354,341,401,106599.0,1688674.0,3.3208566684490477,3.7617613673674235,3.198904304918433,inf,0,,0
LA,2018,387,377,431,106359.0,1691552.0,3.6386201449806785,4.05231339143843,3.544598952603917,inf,0,,0
LA,2019,381,362,425,106302.0,1719561.0,3.5841282384150817,3.998043310568004,3.405392184530865,inf,0,,0
LA,2020,348,333,384,106230.0,1703353.0,3.275910759672409,3.61479807963852,3.1347077096865292,inf,0,,0
LA,2021,444,417,475,107464.0,1592665.0,4.131616169135711,4.42008486562942,3.880369239931512,inf,0,,0
LA,2022,489,445,524,108161.0,1644036.0,4.521038082118324,4.844629764887529,4.11423710949418,inf,0,,0
LA,2023,498,434,526,108561.0,1697330.0,4.587282725840772,4.845202236530614,3.9977524156925597,inf,0,,0
LA,2024,468,354,496,108561.0,1697330.0,4.3109403929587975,4.56885990364864,3.2608395280072955,inf,0,,0
MA,2017,1629,1559,1731,179828.0,3316716.0,9.058656049113598,9.625864715172275,8.669395199857643,inf,0,,0
MA,2018,1812,1759,1910,180307.0,3323852.0,10.049526640673962,10.593044085920125,9.755583532530629,inf,0,,0
MA,2019,1807,1698,1900,181061.0,3386372.0,9.98006196806601,10.493701017888998,9.378054909671325,inf,0,,0
MA,2020,1756,1633,1843,179456.0,3390833.0,9.78512838801712,10.269926890156919,9.099723609129814,inf,0,,0
MA,2021,1715,1573,1793,180088.0,3175568.0,9.523122029230155,9.956243614233042,8.734618630891564,inf,0,,0
MA,2022,1688,1484,1766,182919.0,3396919.0,9.228128297224453,9.654546547925586,8.1128805646215,inf,0,,0
MA,2023,1633,1437,1712,183767.0,3487228.0,8.886252700430436,9.31614490087992,7.819684709441848,inf,0,,0
MA,2024,1716,1210,1770,183767.0,3487228.0,9.337911594573564,9.631761959437766,6.584424842327513,inf,0,,0
MD,2017,963,941,1060,139446.0,2335479.0,6.905899057699755,7.601508827789969,6.748131893349397,2022.0,0,-5.0,2022
MD,2018,961,933,1042,139497.0,2366053.0,6.889037040223088,7.469694688774669,6.688315877760812,2022.0,0,-4.0,2022
MD,2019,1005,969,1094,139449.0,2380865.0,7.206935869027387,7.845162030563145,6.948776972226406,2022.0,0,-3.0,2022
MD,2020,975,918,1050,139734.0,2405968.0,6.9775430460732535,7.514277126540427,6.569625144918201,2022.0,0,-2.0,2022
MD,2021,1199,1107,1259,141217.0,2283019.0,8.490479191598746,8.915357216199183,7.838999553878074,2022.0,0,-1.0,2022
MD,2022,1399,1257,1455,142481.0,2436501.0,9.818853040054464,10.21188790084292,8.82222892876945,2022.0,1,0.0,2022
MD,2023,1625,1451,1666,142967.0,2468367.0,11.366259346562494,11.653038813152685,10.149195268838264,2022.0,1,1.0,2022
MD,2024,1662,1256,1716,142967.0,2468367.0,11.6250603286073,12.002769869969994,8.785244147250765,2022.0,1,2.0,2022
ME,2017,199,198,213,41622.0,513745.0,4.781125366392772,5.117485944932969,4.75709961078276,2024.0,0,-7.0,2024
ME,2018,182,175,192,41727.0,516240.0,4.361684281160879,4.601337263642246,4.193927193423922,2024.0,0,-6.0,2024
ME,2019,176,168,188,41843.0,522191.0,4.206199364290323,4.4929856845828455,4.015008484095309,2024.0,0,-5.0,2024
ME,2020,173,169,184,41646.0,520969.0,4.154060413965326,4.418191422945781,4.0580127743360705,2024.0,0,-4.0,2024
ME,2021,253,236,270,42519.0,504710.0,5.950281050824338,6.350102307203839,5.550459794444836,2024.0,0,-3.0,2024
ME,2022,246,218,260,43185.0,533151.0,5.696422368878083,6.020609007757323,5.048049091119602,2024.0,0,-2.0,2024
ME,2023,295,262,310,43345.0,548469.0,6.80585996077979,7.151920636751644,6.044526473641712,2024.0,0,-1.0,2024
ME,2024,471,362,483,43345.0,548469.0,10.866305225516207,11.14315376629369,8.351597646787404,2024.0,1,0.0,2024
MI,2017,1192,1160,1324,222553.0,3859949.0,5.356027552987379,5.949144698116854,5.212241578410536,inf,0,,0
MI,2018,1206,1168,1294,222656.0,3947891.0,5.416427134233976,5.811655648174763,5.245760275941362,inf,0,,0
MI,2019,1136,1082,1263,222226.0,3978872.0,5.111913097477343,5.683403382142504,4.868917228407118,inf,0,,0
MI,2020,1108,1040,1204,221060.0,4000120.0,5.0122138785849994,5.446485117162761,4.704605084592418,inf,0,,0
MI,2021,1407,1325,1505,224676.0,3768321.0,6.262351118944614,6.698534778970607,5.897381117698375,inf,0,,0
MI,2022,1509,1365,1608,227870.0,3939076.0,6.622196866634485,7.056655110369948,5.990257603019265,inf,0,,0
MI,2023,1396,1222,1502,229564.0,4041074.0,6.081092854280287,6.542837727169766,5.323134289348504,inf,0,,0
MI,2024,1414,1040,1494,229564.0,4041074.0,6.159502360997369,6.507989057517729,4.530327054764685,inf,0,,0
MN,2017,872,847,954,151816.0,2685047.0,5.743795120408916,6.283922643199663,5.579122095167835,inf,0,,0
MN,2018,839,809,914,151595.0,2729492.0,5.5344833272865195,6.029222599689963,5.336587618325142,inf,0,,0
MN,2019,818,781,891,151495.0,2729420.0,5.399518135912077,5.881382223835771,5.155285652991848,inf,0,,0
MN,2020,767,720,823,150819.0,2738254.0,5.085566142196938,5.456872144756297,4.7739343186203325,inf,0,,0
MN,2021,934,876,1004,152836.0,2627416.0,6.1111256510246275,6.5691329267973515,5.731633908241514,inf,0,,0
MN,2022,1058,944,1105,154314.0,2732522.0,6.856150446492218,7.160724237593478,6.117396995735967,inf,0,,0
MN,2023,939,823,1009,154455.0,2803410.0,6.079440613771001,6.532647049302386,5.328412806318993,inf,0,,0
MN,2024,1311,1029,1371,154455.0,2803410.0,8.487909099737788,8.876371758764689,6.662134602311353,inf,0,,0
MO,2017,554,541,665,150882.0,2517204.0,3.671743481661166,4.407417717156453,3.5855834360626186,inf,0,,0
MO,2018,558,541,1115,153710.0,2533694.0,3.630212738273372,7.253919718951272,3.519614859150348,inf,0,,0
MO,2019,568,539,1328,151816.0,2547310.0,3.7413711334773674,8.747431100806239,3.550350424197713,inf,0,,0
MO,2020,595,556,1599,150761.0,2566786.0,3.946644025974887,10.606191256359404,3.6879564343563653,inf,0,,0
MO,2021,651,602,1603,152286.0,2478144.0,4.27485126669556,10.526246667454657,3.9530882681270767,inf,0,,0
MO,2022,674,602,1350,153767.0,2564383.0,4.383255184792576,8.779517061528157,3.9150142748444074,inf,0,,0
MO,2023,733,645,1355,151475.0,2631543.0,4.839082356824559,8.945370523188645,4.258128404027067,inf,0,,0
MO,2024,664,484,1128,151475.0,2631543.0,4.383561643835616,7.446773394949662,3.1952467403862026,inf,0,,0
