state,year,new_401k_plans,new_401k_with_employees,new_esrp_plans
AK,2017,70,68,81
AK,2018,67,65,86
AK,2019,76,74,86
AK,2020,66,62,89
AK,2021,115,98,136
AK,2022,92,78,97
AK,2023,135,119,140
AK,2024,125,71,130
AL,2017,274,266,325
AL,2018,364,349,416
AL,2019,371,348,581
AL,2020,333,313,569
AL,2021,473,433,536
AL,2022,470,400,507
AL,2023,459,390,501
AL,2024,493,373,531
AR,2017,191,179,211
AR,2018,208,202,230
AR,2019,165,151,184
AR,2020,220,200,250
AR,2021,247,222,261
AR,2022,271,242,292
AR,2023,218,188,243
AR,2024,269,195,293
AZ,2017,945,902,1071
AZ,2018,1058,1019,1174
AZ,2019,1040,984,1147
AZ,2020,1170,1094,1302
AZ,2021,1343,1260,1469
AZ,2022,1445,1293,1544
AZ,2023,1392,1224,1483
AZ,2024,1383,1001,1483
CA,2017,7478,7203,8539
CA,2018,8098,7867,8996
CA,2019,8344,7819,9177
CA,2020,9212,8590,10048
CA,2021,10705,9900,11551
CA,2022,21503,18944,22294
CA,2023,12901,11255,13472
CA,2024,13455,9683,13863
CO,2017,1079,1055,1200
CO,2018,1163,1119,1277
CO,2019,1272,1186,1366
CO,2020,1291,1199,1422
CO,2021,1502,1355,1610
CO,2022,1865,1623,1946
CO,2023,3116,2760,3216
CO,2024,2023,1426,2121
CT,2017,611,589,659
CT,2018,594,570,665
CT,2019,645,620,704
CT,2020,597,563,680
CT,2021,639,598,706
CT,2022,774,674,824
CT,2023,1305,1163,1359
CT,2024,819,601,863
DC,2017,232,224,259
DC,2018,233,229,255
DC,2019,241,227,260
DC,2020,256,237,282
DC,2021,304,276,331
DC,2022,284,234,313
DC,2023,291,261,303
DC,2024,299,194,319
DE,2017,180,170,201
DE,2018,196,189,217
DE,2019,217,202,230
DE,2020,286,254,294
DE,2021,314,274,334
DE,2022,428,353,442
DE,2023,419,353,434
DE,2024,606,387,618
FL,2017,2871,2779,3269
FL,2018,3343,3254,3678
FL,2019,3402,3249,3707
FL,2020,3291,3102,3598
FL,2021,3954,3672,4294
FL,2022,4287,3814,4740
FL,2023,4623,4159,5031
FL,2024,4732,3587,5105
GA,2017,1246,1199,1467
GA,2018,1330,1288,1533
GA,2019,1347,1285,2964
GA,2020,1467,1375,2935
GA,2021,1555,1436,2604
GA,2022,1785,1591,2466
GA,2023,1751,1551,2435
GA,2024,1773,1313,2266
HI,2017,150,145,176
HI,2018,141,138,161
HI,2019,137,134,161
HI,2020,154,149,173
HI,2021,192,182,206
HI,2022,170,157,185
HI,2023,186,163,200
HI,2024,313,223,316
IA,2017,305,295,318
IA,2018,288,285,312
IA,2019,271,259,293
IA,2020,249,238,283
IA,2021,336,315,370
IA,2022,396,373,422
IA,2023,373,333,399
IA,2024,334,242,350
ID,2017,214,205,241
ID,2018,227,219,247
ID,2019,210,202,233
ID,2020,258,244,286
ID,2021,363,340,395
ID,2022,371,321,388
ID,2023,310,266,330
ID,2024,348,236,366
IL,2017,1490,1426,1710
IL,2018,1495,1445,1661
IL,2019,1824,1733,1995
IL,2020,1586,1500,1837
IL,2021,1851,1688,2085
IL,2022,2196,1966,2348
IL,2023,3121,2816,3264
IL,2024,2829,2167,2962
IN,2017,617,597,760
IN,2018,584,573,683
IN,2019,587,571,774
IN,2020,586,545,1087
IN,2021,748,689,1304
IN,2022,766,697,1096
IN,2023,805,727,1043
IN,2024,845,648,1047
KS,2017,281,269,331
KS,2018,316,311,348
KS,2019,291,274,328
KS,2020,287,279,355
KS,2021,371,338,439
KS,2022,403,362,435
KS,2023,375,337,407
KS,2024,353,266,372
KY,2017,348,343,398
KY,2018,298,290,346
KY,2019,336,323,591
KY,2020,306,288,1502
KY,2021,336,319,1177
KY,2022,376,342,1006
KY,2023,394,349,1013
KY,2024,375,278,1068
LA,2017,354,341,401
LA,2018,387,377,431
LA,2019,381,362,425
LA,2020,348,333,384
LA,2021,444,417,475
LA,2022,489,445,524
LA,2023,498,434,526
LA,2024,468,354,496
MA,2017,1629,1559,1731
MA,2018,1812,1759,1910
MA,2019,1807,1698,1900
MA,2020,1756,1633,1843
MA,2021,1715,1573,1793
MA,2022,1688,1484,1766
MA,2023,1633,1437,1712
MA,2024,1716,1210,1770
MD,2017,963,941,1060
MD,2018,961,933,1042
MD,2019,1005,969,1094
MD,2020,975,918,1050
MD,2021,1199,1107,1259
MD,2022,1399,1257,1455
MD,2023,1625,1451,1666
MD,2024,1662,1256,1716
ME,2017,199,198,213
ME,2018,182,175,192
ME,2019,176,168,188
ME,2020,173,169,184
ME,2021,253,236,270
ME,2022,246,218,260
ME,2023,295,262,310
ME,2024,471,362,483
MI,2017,1192,1160,1324
MI,2018,1206,1168,1294
MI,2019,1136,1082,1263
MI,2020,1108,1040,1204
MI,2021,1407,1325,1505
MI,2022,1509,1365,1608
MI,2023,1396,1222,1502
MI,2024,1414,1040,1494
MN,2017,872,847,954
MN,2018,839,809,914
MN,2019,818,781,891
MN,2020,767,720,823
MN,2021,934,876,1004
MN,2022,1058,944,1105
MN,2023,939,823,1009
MN,2024,1311,1029,1371
MO,2017,554,541,665
MO,2018,558,541,1115
MO,2019,568,539,1328
MO,2020,595,556,1599
MO,2021,651,602,1603
MO,2022,674,602,1350
MO,2023,733,645,1355
MO,2024,664,484,1128
MS,2017,118,116,140
MS,2018,138,134,155
MS,2019,128,120,144
MS,2020,123,112,148
MS,2021,171,160,196
MS,2022,184,154,204
MS,2023,155,136,164
MS,2024,189,130,197
MT,2017,141,136,157
MT,2018,124,117,135
MT,2019,119,115,135
MT,2020,155,143,167
MT,2021,192,173,200
MT,2022,249,227,254
MT,2023,215,190,223
MT,2024,224,159,237
NC,2017,1156,1119,1292
NC,2018,1241,1207,1371
NC,2019,1323,1265,1460
NC,2020,1246,1176,1472
NC,2021,1481,1347,1640
NC,2022,1631,1440,1752
NC,2023,1661,1470,1775
NC,2024,1830,1337,1942
ND,2017,57,57,61
ND,2018,84,82,88
ND,2019,83,79,93
ND,2020,79,79,84
ND,2021,92,85,100
ND,2022,91,80,102
ND,2023,125,112,134
ND,2024,108,80,112
NE,2017,219,208,246
NE,2018,184,177,216
NE,2019,191,183,220
NE,2020,197,187,293
NE,2021,254,247,420
NE,2022,305,275,336
NE,2023,289,264,316
NE,2024,308,227,324
NH,2017,249,240,272
NH,2018,243,234,261
NH,2019,279,269,290
NH,2020,266,254,288
NH,2021,328,305,353
NH,2022,313,277,320
NH,2023,296,260,322
NH,2024,328,237,347
NJ,2017,1665,1608,1871
NJ,2018,1790,1733,1998
NJ,2019,1702,1630,1861
NJ,2020,1587,1491,1795
NJ,2021,1910,1781,2102
NJ,2022,2236,2051,2375
NJ,2023,2001,1827,2119
NJ,2024,2129,1722,2241
NM,2017,150,143,163
NM,2018,160,160,175
NM,2019,170,165,190
NM,2020,188,178,203
NM,2021,178,169,188
NM,2022,231,201,245
NM,2023,200,177,212
NM,2024,223,144,236
NV,2017,442,417,490
NV,2018,486,468,538
NV,2019,473,443,523
NV,2020,557,515,611
NV,2021,681,624,739
NV,2022,714,615,755
NV,2023,671,603,712
NV,2024,844,654,875
NY,2017,3255,3126,3660
NY,2018,3469,3371,3832
NY,2019,3402,3228,3769
NY,2020,3395,3143,3758
NY,2021,3588,3300,3940
NY,2022,4244,3763,4545
NY,2023,4112,3665,4380
NY,2024,3962,2878,4112
OH,2017,1148,1107,2001
OH,2018,1205,1148,2192
OH,2019,1185,1120,2731
OH,2020,1229,1159,3678
OH,2021,1276,1176,3066
OH,2022,1332,1206,3154
OH,2023,1187,1023,2373
OH,2024,1233,895,2242
OK,2017,284,275,343
OK,2018,340,326,387
OK,2019,337,321,360
OK,2020,329,306,371
OK,2021,362,335,398
OK,2022,440,394,472
OK,2023,380,316,414
OK,2024,448,332,479
OR,2017,636,601,684
OR,2018,826,797,889
OR,2019,968,883,1017
OR,2020,852,788,885
OR,2021,876,787,907
OR,2022,951,793,994
OR,2023,1321,1114,1363
OR,2024,1117,706,1146
PA,2017,1458,1403,1648
PA,2018,1518,1466,1680
PA,2019,1563,1492,1737
PA,2020,1582,1496,1736
PA,2021,1835,1695,2006
PA,2022,1958,1778,2083
PA,2023,1814,1649,1961
PA,2024,1742,1322,1850
RI,2017,217,215,227
RI,2018,215,208,230
RI,2019,188,181,196
RI,2020,201,188,213
RI,2021,195,180,208
RI,2022,195,171,206
RI,2023,209,185,218
RI,2024,271,211,284
SC,2017,541,518,621
SC,2018,524,505,595
SC,2019,536,504,603
SC,2020,556,528,643
SC,2021,716,660,810
SC,2022,791,703,854
SC,2023,813,722,865
SC,2024,816,640,861
SD,2017,79,78,84
SD,2018,85,82,92
SD,2019,60,59,65
SD,2020,78,76,92
SD,2021,118,111,140
SD,2022,121,108,129
SD,2023,133,122,144
SD,2024,113,88,116
TN,2017,565,537,670
TN,2018,656,640,744
TN,2019,646,611,733
TN,2020,633,585,730
TN,2021,808,757,901
TN,2022,951,833,1022
TN,2023,869,760,957
TN,2024,871,625,945
TX,2017,2861,2721,3454
TX,2018,3093,2978,3602
TX,2019,3361,3129,3776
TX,2020,3393,3195,3984
TX,2021,3994,3594,4521
TX,2022,4527,3912,4901
TX,2023,4191,3644,4602
TX,2024,4427,3123,4774
UT,2017,491,476,548
UT,2018,511,501,556
UT,2019,474,459,523
UT,2020,527,494,583
UT,2021,677,618,724
UT,2022,652,567,699
UT,2023,620,546,669
UT,2024,721,523,774
VA,2017,1096,1048,1198
VA,2018,1153,1115,1239
VA,2019,1205,1130,1315
VA,2020,1172,1092,1265
VA,2021,1385,1271,1497
VA,2022,1461,1273,1586
VA,2023,1729,1552,1817
VA,2024,1811,1330,1947
VT,2017,66,65,74
VT,2018,85,82,98
VT,2019,89,85,99
VT,2020,97,91,102
VT,2021,112,102,125
VT,2022,162,142,172
VT,2023,133,120,139
VT,2024,161,122,168
WA,2017,1096,1047,1184
WA,2018,1076,1036,1152
WA,2019,1171,1079,1254
WA,2020,1162,1076,1316
WA,2021,1305,1159,1430
WA,2022,1500,1275,1576
WA,2023,1324,1141,1404
WA,2024,1452,937,1513
WI,2017,605,589,676
WI,2018,680,662,724
WI,2019,659,633,717
WI,2020,683,643,797
WI,2021,681,629,768
WI,2022,828,741,888
WI,2023,841,763,891
WI,2024,802,592,851
WV,2017,88,85,109
WV,2018,93,91,132
WV,2019,106,100,145
WV,2020,74,72,104
WV,2021,104,100,143
WV,2022,110,99,160
WV,2023,125,109,160
WV,2024,112,71,137
WY,2017,51,47,100
WY,2018,72,70,89
WY,2019,84,77,113
WY,2020,84,72,102
WY,2021,97,85,120
WY,2022,131,116,145
WY,2023,146,126,155
WY,2024,189,123,199
